id;name;description;image_link;availability;condition;price;link
1;Margherita;Pomodoro, mozzarella, basilico;https://pompobit.github.io/restaurant-catalog/images/margherita.jpg;in stock;new;8.00 EUR;https://pompobit.github.io/restaurant-catalog/margherita.html
2;Diavola;Pomodoro, mozzarella, salame piccante;https://pompobit.github.io/restaurant-catalog/images/diavola.jpg;in stock;new;9.50 EUR;https://pompobit.github.io/restaurant-catalog/diavola.html
3;Quattro Formaggi;Mozzarella, gorgonzola, parmigiano, fontina;https://pompobit.github.io/restaurant-catalog/images/4formaggi.jpg;in stock;new;10.00 EUR;https://pompobit.github.io/restaurant-catalog/4formaggi.html
4;Capricciosa;Pomodoro, mozzarella, funghi, prosciutto cotto, carciofi, olive;https://pompobit.github.io/restaurant-catalog/images/capricciosa.jpg;in stock;new;11.00 EUR;https://pompobit.github.io/restaurant-catalog/capricciosa.html
5;Burger Classico;Pane, carne di manzo, insalata, pomodoro, cheddar;https://pompobit.github.io/restaurant-catalog/images/classicburger.jpg;out of stock;new;10.00 EUR;https://pompobit.github.io/restaurant-catalog/classicburger.html
6;Double Cheeseburger;Pane, doppia carne di manzo, doppio cheddar, insalata, pomodoro;https://pompobit.github.io/restaurant-catalog/images/cheeseburger.jpg;in stock;new;13.00 EUR;https://pompobit.github.io/restaurant-catalog/cheeseburger.html
7;Spaghetti Carbonara;Pasta con guanciale, uovo, pecorino, pepe nero;https://pompobit.github.io/restaurant-catalog/images/carbonara.jpg;in stock;new;12.00 EUR;https://pompobit.github.io/restaurant-catalog/carbonara.html
8;Lasagna;Sfoglie di pasta al forno con ragù, besciamella, parmigiano;https://pompobit.github.io/restaurant-catalog/images/lasagna.jpg;in stock;new;13.00 EUR;https://pompobit.github.io/restaurant-catalog/lasagna.html
9;Acqua;Naturale o frizzante;https://pompobit.github.io/restaurant-catalog/images/acqua.jpg;in stock;new;2.00 EUR;https://pompobit.github.io/restaurant-catalog/acqua.html
10;Coca-Cola;Bibita gassata classica;https://pompobit.github.io/restaurant-catalog/images/cocacola.jpg;in stock;new;2.50 EUR;https://pompobit.github.io/restaurant-catalog/cocacola.html
11;Birra Artigianale;Birra locale non filtrata;https://pompobit.github.io/restaurant-catalog/images/birra.jpg;in stock;new;5.00 EUR;https://pompobit.github.io/restaurant-catalog/birra.html
